-110	23														
-120	Animal	Exp	Trial	Date	Time	Phase	Fre No. Phase	Fre No. Part	Time from [s]	Time to [s]	Dur. [s]	Part No. Start	Part No. End	Name Start	Name End
-900	10005	1	1	06.06.2018	13:30	2	74	74	173,21	173,75	0,54	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	75	75	175,29	175,90	0,61	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	76	76	176,11	179,12	3,01	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	77	77	179,14	179,67	0,53	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	1	1	0,00	0,67	0,67	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	2	2	1,17	2,48	1,31	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	3	3	2,48	3,23	0,75	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	4	4	3,26	3,87	0,61	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	5	5	4,11	8,60	4,49	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	6	6	8,62	9,94	1,32	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	7	7	10,07	18,80	8,73	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	8	8	18,82	27,80	8,98	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	9	9	27,82	31,61	3,79	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	10	10	31,70	33,45	1,75	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	11	11	33,47	35,37	1,90	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	12	12	35,40	37,05	1,65	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	13	13	37,07	38,12	1,05	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	14	14	52,45	53,06	0,61	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	15	15	53,38	53,92	0,54	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	16	16	55,16	56,14	0,98	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	17	17	57,54	58,18	0,64	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	18	18	63,62	64,25	0,63	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	19	19	69,67	70,83	1,16	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	20	20	72,98	74,01	1,03	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	21	21	80,21	80,83	0,62	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	22	22	81,71	83,87	2,16	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	23	23	85,70	86,22	0,52	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	24	24	87,36	89,15	1,79	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	25	25	89,21	90,15	0,94	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	26	26	91,69	92,61	0,92	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	27	27	93,39	93,98	0,59	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	28	28	95,68	96,49	0,81	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	29	29	97,83	101,23	3,40	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	30	30	102,66	103,38	0,72	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	31	31	103,82	104,81	0,99	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	32	32	106,51	107,40	0,89	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	33	33	108,37	109,08	0,71	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	34	34	109,10	109,64	0,54	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	35	35	110,01	110,59	0,58	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	36	36	115,29	117,10	1,81	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	37	37	121,30	125,22	3,92	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	38	38	125,90	128,43	2,53	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	39	39	128,87	129,68	0,81	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	40	40	129,98	130,70	0,72	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	41	41	130,70	131,81	1,11	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	42	42	133,68	134,29	0,61	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	43	43	134,33	135,33	1,00	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	44	44	139,07	140,59	1,52	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	45	45	141,05	141,64	0,59	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	46	46	143,79	144,43	0,64	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	47	47	149,82	151,34	1,52	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	48	48	154,04	154,68	0,64	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	49	49	155,35	156,15	0,80	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	50	50	156,17	158,03	1,86	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	51	51	162,09	162,73	0,64	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:39	3	52	52	173,18	178,38	5,20	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	1	1	4,97	5,59	0,62	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	2	2	6,15	6,88	0,73	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	3	3	7,24	10,21	2,97	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	4	4	10,40	11,08	0,68	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	5	5	11,23	11,78	0,55	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	6	6	12,03	15,41	3,38	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	7	7	16,04	16,56	0,52	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	8	8	17,36	19,78	2,42	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	9	9	19,83	20,65	0,82	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	10	10	23,37	24,84	1,47	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	11	11	25,16	25,79	0,63	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	12	12	26,00	26,54	0,54	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	13	13	28,33	29,26	0,93	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	14	14	30,96	31,82	0,86	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	15	15	31,83	33,50	1,67	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:42	4	16	16	33,52	38,29	4,77	1	1	Habituation	Habituation
