"seconds","M_10005","average","SE"
0.26,-2.73314612085275,-2.73314612085275,NA
0.27,-2.79704185108462,-2.79704185108462,NA
0.28,-2.86037328058486,-2.86037328058486,NA
0.29,-2.92283077575504,-2.92283077575504,NA
0.3,-2.98412937682053,-2.98412937682053,NA
0.31,-3.04401009526198,-3.04401009526198,NA
0.32,-3.10224085577736,-3.10224085577736,NA
0.33,-3.15861708498145,-3.15861708498145,NA
0.34,-3.21296195484922,-3.21296195484922,NA
0.35,-3.26512629289139,-3.26512629289139,NA
0.36,-3.31498817437199,-3.31498817437199,NA
0.37,-3.3624522162613,-3.3624522162613,NA
0.38,-3.40744859692305,-3.40744859692305,NA
0.39,-3.44993182854134,-3.44993182854134,NA
0.4,-3.48987931195099,-3.48987931195099,NA
0.41,-3.52728970507073,-3.52728970507073,NA
0.42,-3.56218113687348,-3.56218113687348,NA
0.43,-3.59458929978562,-3.59458929978562,NA
0.44,-3.62456545452234,-3.62456545452234,NA
0.45,-3.65217438310964,-3.65217438310964,NA
0.46,-3.67749232502296,-3.67749232502296,NA
0.47,-3.70060492881714,-3.70060492881714,NA
0.48,-3.72160524817631,-3.72160524817631,NA
0.49,-3.74059180944397,-3.74059180944397,NA
0.5,-3.75766677817928,-3.75766677817928,NA
0.51,-3.7729342502184,-3.7729342502184,NA
0.52,-3.7864986889151,-3.7864986889151,NA
0.53,-3.79846352639449,-3.79846352639449,NA
0.54,-3.80892994088225,-3.80892994088225,NA
0.55,-3.81799581865113,-3.81799581865113,NA
0.56,-3.82575490810605,-3.82575490810605,NA
0.57,-3.83229617023033,-3.83229617023033,NA
0.58,-3.83770332453662,-3.83770332453662,NA
0.59,-3.84205458686743,-3.84205458686743,NA
0.6,-3.84542259188524,-3.84542259188524,NA
0.61,-3.84787448837761,-3.84787448837761,NA
0.62,-3.84947219351912,-3.84947219351912,NA
0.63,-3.85027279047354,-3.85027279047354,NA
0.64,-3.85032905187884,-3.85032905187884,NA
0.65,-3.8496900704798,-3.8496900704798,NA
0.66,-3.8484019758738,-3.8484019758738,NA
0.67,-3.84650871555721,-3.84650871555721,NA
0.68,-3.84405287798358,-3.84405287798358,NA
0.69,-3.84107653481645,-3.84107653481645,NA
0.7,-3.8376220801391,-3.8376220801391,NA
0.71,-3.83373304480648,-3.83373304480648,NA
0.72,-3.82945486561476,-3.82945486561476,NA
0.73,-3.82483559135072,-3.82483559135072,NA
0.74,-3.81992650915153,-3.81992650915153,NA
0.75,-3.81478267504631,-3.81478267504631,NA
0.76,-3.80946333495417,-3.80946333495417,NA
0.77,-3.80403222492957,-3.80403222492957,NA
0.78,-3.79855774110527,-3.79855774110527,NA
0.79,-3.79311297453585,-3.79311297453585,NA
0.8,-3.78777561023238,-3.78777561023238,NA
0.81,-3.78262769165698,-3.78262769165698,NA
0.82,-3.7777552532189,-3.7777552532189,NA
0.83,-3.77324782447539,-3.77324782447539,NA
0.84,-3.76919781319703,-3.76919781319703,NA
0.85,-3.76569977774228,-3.76569977774228,NA
0.86,-3.76284960231937,-3.76284960231937,NA
0.87,-3.76074358960946,-3.76074358960946,NA
0.88,-3.7594774855846,-3.7594774855846,NA
0.89,-3.75914545404595,-3.75914545404595,NA
0.9,-3.75983901821752,-3.75983901821752,NA
0.91,-3.76164598827349,-3.76164598827349,NA
0.92,-3.76464939484322,-3.76464939484322,NA
0.93,-3.76892644659268,-3.76892644659268,NA
0.94,-3.77454752914579,-3.77454752914579,NA
0.95,-3.78157526305868,-3.78157526305868,NA
0.96,-3.79006363905445,-3.79006363905445,NA
0.97,-3.8000572452395,-3.8000572452395,NA
0.98,-3.81159059842545,-3.81159059842545,NA
0.99,-3.82468759034504,-3.82468759034504,NA
1,-3.83936105826044,-3.83936105826044,NA
1.01,-3.8556124889531,-3.8556124889531,NA
