"seconds","M_10005","M_10006","average","SE"
-0.28,-0.880083984570256,-2.72766664742647,-1.80387531599836,0.923791331428107
-0.27,-0.864752791105176,-2.71936300138929,-1.79205789624723,0.927305105142057
-0.26,-0.850203305145174,-2.71480333247139,-1.78250331880828,0.932300013663109
-0.25,-0.83646905204151,-2.71372665975644,-1.77509785589898,0.938628803857466
-0.24,-0.823574552426327,-2.71584699868504,-1.76971077555569,0.946136223129359
-0.23,-0.811535979777056,-2.72085699167129,-1.76619648572417,0.954660505947117
-0.22,-0.800361863166115,-2.72843173668185,-1.76439679992398,0.964034936757866
-0.21,-0.790053822515393,-2.73823274582782,-1.7641432841716,0.974089461656211
-0.2,-0.780607322973803,-2.74991196513828,-1.76525964405604,0.984652321082239
-0.19,-0.772012434487306,-2.76311578895585,-1.76756411172158,0.995551677234272
-0.18,-0.764254583881424,-2.77748900128686,-1.77087179258414,1.00661720870272
-0.17,-0.757315289826437,-2.79267857951173,-1.77499693466908,1.01768164484265
-0.16,-0.751172872449947,-2.80833729862739,-1.77975508553867,1.02858221308872
-0.15,-0.745803131667534,-2.82412707867543,-1.78496510517148,1.03916197350395
-0.14,-0.741179991707125,-2.83972202743191,-1.79045100956952,1.04927101786239
-0.13,-0.737276110667034,-2.85481113916113,-1.79604362491408,1.05876751424705
-0.12,-0.734063454712844,-2.86910061508896,-1.8015820349009,1.06751858018806
-0.11,-0.731513840338701,-2.88231577503342,-1.80691480768606,1.07540096734736
-0.0999999999999999,-0.729599449934269,-2.89420254100229,-1.81190099546828,1.08230154553401
-0.0899999999999999,-0.728293325778164,-2.90452848693419,-1.81641090635618,1.08811758057801
-0.0800000000000001,-0.727569845918045,-2.91308345788054,-1.82032665189929,1.09275680598125
-0.0700000000000001,-0.727405182391624,-2.91967977002507,-1.82354247620835,1.09613729381672
-0.0600000000000001,-0.727777743272739,-2.92415201051872,-1.82596487689573,1.09818713362299
-0.05,-0.728668601220338,-2.92635646382164,-1.82751253252099,1.09884393130065
