"Time(s)","AIn-2 - Demodulated(Lock-In)","AOut-2","AIn-3","AIn-1 - Demodulated(Lock-In)","AOut-1"
118.69,1.39080852491803,1,4.77479216147541,0.867751291032787,1
118.7,1.39192420180328,1,4.7749297445082,0.86612280354918,1
118.71,1.39307239786885,1,4.77459078918033,0.864616890114754,1
118.72,1.39415805614754,1,4.77525119057377,0.865334825688525,1
118.73,1.39487098893443,1,4.7748134245082,0.867516148336066,1
118.74,1.39497855409836,1,4.77514987901639,0.868351655336066,1
118.75,1.3944360968595,1,4.77487176586777,0.866821512231405,1
118.76,1.39329253213115,1,4.7748221795082,0.864867041991803,1
118.77,1.39207929639344,1,4.77497352229508,0.864822014614754,1
118.78,1.39116624319672,1,4.77486345491803,0.86648552342623,1
118.79,1.39096862245902,1,4.77512611434426,0.867443604262295,1
118.8,1.39160650942623,1,4.77477590172131,0.866515541622951,1
118.81,1.39240449270492,1,4.77520741319672,0.865422378877049,1
118.82,1.39329253131148,1,4.77493975131148,0.866160326295082,1
118.83,1.39402047295082,1,4.77516238614754,0.867906385155738,1
118.84,1.39465335672131,1,4.77507983647541,0.868093998877049,1
118.85,1.39481845672131,1,4.77474963581967,0.865985220032787,1
118.86,1.39418387760331,1,4.77496887008264,0.863646073991736,1
118.87,1.39312493040984,1,4.77454826295082,0.86351372095082,1
118.88,1.39194171303279,1,4.77498227713115,0.865134704237705,1
118.89,1.39137887196721,1,4.77458578598361,0.86604275502459,1
118.9,1.39141389278689,1,4.774946005,0.864872044942623,1
118.91,1.39186916803279,1,4.77472211893443,0.862840813040984,1
118.92,1.39254207622951,1,4.77481217352459,0.862365524893443,1
118.93,1.3927196845082,1,4.77476214327869,0.863981504696721,1
118.94,1.39257709852459,1,4.77470335778689,0.865687539639344,1
118.95,1.39177411196721,1,4.77492349098361,0.865354837795082,1
118.96,1.39038798157025,1,4.77464729024793,0.863439254404959,1
118.97,1.38848211590164,1,4.77478215565574,0.861740145590164,1
118.98,1.38666601508197,1,4.77466958713115,0.861237340483607,1
118.99,1.38574045278689,1,4.77486595590164,0.860999696180328,1
119,1.38548279745902,1,4.7747809045082,0.859411232901639,1
119.01,1.38550781327869,1,4.77479341237705,0.857007274901639,1
119.02,1.38539274270492,1,4.77487095868852,0.856059200098361,1
119.03,1.38551531704918,1,4.77454075885246,0.85790531952459,1
119.04,1.38635832819672,1,4.77486470557377,0.860934656868853,1
119.05,1.38746399860656,1,4.77449823278689,0.862137886885246,1
119.06,1.38821445344262,1,4.77478215565574,0.860867115844262,1
119.07,1.38828699694215,1,4.77475448347107,0.859423926710744,1
119.08,1.38813690663934,1,4.77483718877049,0.859866509040984,1
119.09,1.38801183139344,1,4.77477965418033,0.861957777581967,1
119.1,1.38769413852459,1,4.77469460245902,0.863188523819672,1
119.11,1.38723886204918,1,4.77492224081967,0.862242950483607,1
119.12,1.38623075032787,1,4.77462330877049,0.860584444327869,1
119.13,1.38567791606557,1,4.77474463237705,0.860759550532787,1
119.14,1.3861206845082,1,4.77449698221311,0.86305594345082,1
119.15,1.38764911040984,1,4.77475964188525,0.864962099565574,1
119.16,1.38968284278689,1,4.77479341237705,0.864461796090164,1
119.17,1.39090503041322,1,4.77488563752066,0.862712863578512,1
119.18,1.39111871352459,1,4.77487596262295,0.862230442991803,1
119.19,1.3902857095082,1,4.77462831163934,0.863321104188525,1
119.2,1.38873727008197,1,4.77490598032787,0.863568754311475,1
119.21,1.38651092122951,1,4.77462455942623,0.861149787459016,1
119.22,1.38384930270492,1,4.77492349122951,0.857580122344262,1
119.23,1.38180056040984,1,4.7746420702459,0.855646449803279,1
119.24,1.38076243114754,1,4.7747396297541,0.856331865385246,1
119.25,1.38092502926229,1,4.77478590721311,0.857895313418033,1
119.26,1.38201569114754,1,4.77460955065574,0.858355592655738,1
119.27,1.38396187106557,1,4.77473462622951,0.85798286652459,1
119.28,1.38630960008264,1,4.7746271131405,0.858286418413223,1
119.29,1.38785673663934,1,4.77490598122951,0.859818980196721,1
