"","seconds","X1","X2","X3","X4","average","SE"
"146",-0.55,-7.46935065139348,1.96523903058086,-4.7414635906698,-7.26319396932491,-4.37719229520183,2.20320935723659
"147",-0.54,-7.41300362903377,2.23047292763304,-4.66696321377331,-7.31774404071965,-4.29180948897342,2.26530058731367
"148",-0.53,-7.35738960557789,2.51374985581927,-4.59327759116785,-7.38525215911782,-4.20554237501107,2.3335224082404
"149",-0.52,-7.30244846537896,2.81295453508,-4.52061970147422,-7.46484839137609,-4.11874050578732,2.40732107991222
"150",-0.51,-7.24809382431486,3.12567279169464,-4.44917743026923,-7.55545547521772,-4.03176348452679,2.4860328931548
"151",-0.5,-7.19421519229785,3.44921110363572,-4.37911224399121,-7.65579935826839,-3.94497892273043,2.56888825705661
"152",-0.49,-7.14068019150112,3.78062075135233,-4.31055816031632,-7.76442245987678,-3.85876001508547,2.65501819258788
"153",-0.48,-7.08733679209245,4.11672634590709,-4.24362107870146,-7.87969954907832,-3.77348276849129,2.74346305847455
"154",-0.47,-7.03401553827941,4.45415843268397,-4.1783785241466,-7.99985609418122,-3.68952293098081,2.8331832615442
"155",-0.46,-6.98053173871583,4.78938980355394,-4.11487984506625,-8.1229888998423,-3.60725267001761,2.92307166565274
"156",-0.45,-6.92668760532347,5.11877508598289,-4.05314690204651,-8.24708881215689,-3.52703705838599,3.01196740247523
"157",-0.44,-6.8722743310703,5.43859311808045,-3.99317527798412,-8.37006524494067,-3.44923043397866,3.09867079358296
"158",-0.43,-6.81707409853362,5.74509157219941,-3.93493602802454,-8.48977225411875,-3.37417270211938,3.18195910845287
"159",-0.42,-6.76086201600403,6.0345332478866,-3.87837797169136,-8.60403586053824,-3.30218565008676,3.26060289963717
"160",-0.41,-6.70340798041007,6.30324341996443,-3.82343051182427,-8.71068229584047,-3.23356934202759,3.3333826705786
"161",-0.4,-6.64447846785815,6.54765760241478,-3.77000695592686,-8.80756682498077,-3.16859866158775,3.39910564339684
"162",-0.39,-6.58383825570963,6.76436907411113,-3.71800830232934,-8.89260278512059,-3.10752006726211,3.4566224037408
"163",-0.38,-6.52125209453428,6.95017550415884,-3.66732743705125,-8.96379047931474,-3.05054862668536,3.50484320870887
"164",-0.37,-6.4564863530846,7.1021240127898,-3.61785367838217,-9.019245555914,-2.99786539364774,3.54275374865076
"165",-0.36,-6.38931065532489,7.21755401325476,-3.56947759762117,-9.05722649630516,-2.94961518399911,3.56943015731126
"166",-0.35,-6.31949952828321,7.2941372078761,-3.52209603196322,-9.07616082833168,-2.9059047951755,3.58405307137175
"167",-0.34,-6.24683407249104,7.32991414930928,-3.47561718922125,-9.07466969257306,-2.86680170124402,3.58592054968422
